Model,Precision_macro,Precision_weighted,Precision_positive,Precision_negative,Recall_macro,Recall_weighted,Recall_positive,Recall_negative,F1_macro,F1_weighted,F1_positive,F1_negative,CohenKappa,MCC
human1,0.8136146640245001,0.8430997793190415,0.907967032967033,0.7192622950819673,0.8340168603326499,0.8322368421052632,0.8283208020050126,0.8397129186602871,0.8205758030777777,0.8348699799501792,0.8663171690694627,0.7748344370860927,0.642418930762489,0.6473100815891634
human2,0.7541795665634674,0.8079721362229102,0.9263157894736842,0.5820433436532507,0.7805878332194122,0.743421052631579,0.6616541353383458,0.8995215311004785,0.7393483709273183,0.7495300751879699,0.7719298245614035,0.706766917293233,0.4966727162734422,0.5341149457960999
human3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
