Model,Precision_macro,Precision_weighted,Precision_positive,Precision_negative,Recall_macro,Recall_weighted,Recall_positive,Recall_negative,F1_macro,F1_weighted,F1_positive,F1_negative,CohenKappa,MCC
human1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
human2,0.7901960784313726,0.8132529466080062,0.9070175438596492,0.673374613003096,0.800779138893893,0.7828947368421053,0.7101648351648352,0.8913934426229508,0.7819029683436463,0.7848057054123067,0.7966101694915254,0.7671957671957672,0.5710804224207962,0.5908804501114345
human3,0.8340168603326499,0.8328926382943003,0.8283208020050126,0.8397129186602871,0.8136146640245001,0.8322368421052632,0.907967032967033,0.7192622950819673,0.8205758030777777,0.8296037042603471,0.8663171690694627,0.7748344370860927,0.642418930762489,0.6473100815891634
