Model,Precision_macro,Precision_weighted,Precision_positive,Precision_negative,Recall_macro,Recall_weighted,Recall_positive,Recall_negative,F1_macro,F1_weighted,F1_positive,F1_negative,CohenKappa,MCC
human1,0.800779138893893,0.8064425328769591,0.7101648351648352,0.8913934426229508,0.7901960784313726,0.7828947368421053,0.9070175438596492,0.673374613003096,0.7819029683436463,0.7809837682719039,0.7966101694915254,0.7671957671957672,0.5710804224207962,0.5908804501114345
human2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
human3,0.7805878332194122,0.7880211893369788,0.6616541353383458,0.8995215311004785,0.7541795665634674,0.743421052631579,0.9263157894736842,0.5820433436532507,0.7393483709273183,0.737312030075188,0.7719298245614035,0.706766917293233,0.4966727162734422,0.5341149457960999
